site,tomst_id,start_date,end_date,probl
RA030,94204736,2021-08-22,2021-08-28,1
RA030,94204736,2022-07-28,2022-08-19,1
RA031,94204763,2020-05-27,2020-07-22,2
RA031,94204763,2020-07-23,2021-08-12,6
RA032,94204765,2020-05-27,2020-07-22,2
RA032,94204765,2020-07-23,2021-08-12,6
RA033,94204718,2020-05-27,2020-07-22,2
RA033,94204718,2020-07-23,2021-08-12,6
RA034,94204711,2020-05-27,2020-07-22,2
RA034,94204711,2020-07-23,2021-08-12,6
RA035,94204713,2020-05-27,2020-07-22,2
RA035,94204713,2020-07-23,2021-08-12,6
RA036,94204712,2020-05-27,2020-07-22,2
RA036,94204712,2020-07-23,2021-08-14,6
RA037,94204714,2020-05-27,2020-07-22,2
RA037,94204714,2020-07-23,2021-08-14,6
RA038,94204764,2020-05-27,2020-07-22,2
RA038,94204764,2020-07-23,2021-08-13,6
RA038,94204764,2022-07-18,2022-08-13,3
RA039,94204761,2020-05-27,2020-07-22,2
RA039,94204761,2020-07-23,2021-08-14,6
RA039,94204761,2022-07-28,2022-08-13,3
RA040,94204762,2020-05-27,2020-07-22,2
RA040,94204762,2020-07-23,2021-08-14,6
RA041,94204723,2020-05-27,2020-07-22,2
RA041,94204723,2020-07-23,2021-08-14,6
RA042,94204721,2020-05-27,2020-07-22,2
RA042,94204721,2020-07-23,2021-08-14,6
RA043,94204724,2020-05-27,2020-07-22,2
RA043,94204724,2020-07-23,2021-08-14,6
RA044,94204725,2020-05-27,2020-07-23,2
RA044,94204725,2020-07-24,2021-08-15,6
RA044,94204725,2022-04-12,2022-08-09,3
RA045,94204701,2020-05-27,2020-07-23,2
RA045,94204701,2020-07-24,2021-08-15,6
RA046,94204704,2020-05-27,2020-07-23,2
RA046,94204704,2020-07-24,2021-08-15,6
RA047,94204705,2020-05-27,2020-07-23,2
RA047,94204705,2020-07-24,2021-08-15,6
RA048,94204707,2020-05-27,2020-07-23,2
RA048,94204707,2020-07-24,2021-08-15,6
RA049,94204706,2020-05-27,2020-07-23,2
RA049,94204706,2020-07-24,2021-08-15,6
RA050,94204710,2020-05-27,2020-07-23,2
RA050,94204710,2020-07-24,2021-08-11,6
RA051,94204709,2020-05-27,2020-07-23,2
RA051,94204709,2020-07-24,2021-08-11,6
RA052,94204703,2020-05-27,2020-07-23,2
RA052,94204703,2020-07-24,2021-08-11,6
RA053,94204708,2020-05-27,2020-07-23,2
RA053,94204708,2020-07-24,2021-08-11,6
RA054,94204702,2020-05-27,2020-07-23,2
RA054,94204702,2020-07-24,2021-08-11,6
