tomst_id,T1,T2,T3
94194018,0.0922,0,-0.0028
94194019,0.1516,-0.0908,0
94194039,0.0703,0,-0.1228
94194038,0.153,-0.1146,0
94194037,0.1264,-4e-04,0
94194032,0,-0.0148,0.0619
94194012,0.1266,0,-0.0403
94194031,0.2086,0,-0.0716
94194015,0,-0.0489,0.0813
94194013,0.3544,0,-0.0223
94194014,0.1358,-0.0789,0
94194017,0,-0.0671,0.0079
94213535,0.0857,0,-0.0765
94213531,0.204,0,-0.0508
94212880,0,0.0175,-0.0423
94212879,0,3e-04,-0.0046
94213520,0.188,0,-0.1424
94212878,-0.0282,0.1604,0
94213516,0.2189,-0.0282,0
94213518,0.0258,0,-0.0711
94213517,0.2118,0,-0.043
94212865,0,0.0984,-0.0121
94213534,0.038,0,-0.1377
94212862,0.0325,0,-0.0966
94212863,0,0.0935,0
94212861,0.1415,-0.117,0
94212864,0.0529,0,-0.1878
94200022,0.06,-0.1309,0
94200023,0,-0.0867,0.0344
94213533,0.0525,-0.0946,0
94213510,0.05,0,-0.3759
94213506,-0.0572,0.085,0
94213508,0,0.0573,-0.1929
94213509,0,0.1192,-0.1579
94213532,0.0061,0,-0.0455
94194081,0.2249,-0.0292,0
94194083,0.0934,-0.1229,0
94194042,0.1368,0,-0.0368
94194117,0.0318,-0.0789,0
94194119,0.1421,0,-0.0767
94194120,0.1438,-0.09,0
94194118,0.1547,-0.056,0
94194108,0.1285,-0.0549,0
94194106,0.1678,-0.1306,0
94194105,0.0693,0,-0.1338
94194085,0.234,-0.0538,0
94194082,0.1618,-0.0876,0
94194088,0,0.0129,-0.0642
94194090,0.0938,0,-0.0435
94194061,0.2446,-0.0558,0
94194067,0.1106,-0.0812,0
94194063,0.1452,-0.0974,0
94194107,0.2025,-0.0169,0
94194104,0.149,-0.0971,0
94194103,0.206,0,-0.0643
94194084,0,0.0254,-0.1194
94194089,0.022,-0.0758,0
94194068,0.1142,0,-0.0625
94194069,0.0015,-0.0757,0
94194070,0.2188,-0.0238,0
94194066,0.1034,0,-0.0199
94194147,0.2063,-0.1299,0
94194110,0.1244,0,-0.2261
94194102,0.2542,-0.0171,0
94194101,0.178,0,-0.1343
94194086,0.0406,0,-0.0286
94194079,0.1381,0,-0.0915
94194065,-0.0524,0.1224,0
94194064,0.1076,0,-0.0964
94194062,0,-0.0094,0.0599
94194150,0.0917,0,-0.1381
94194151,0.1706,-0.0099,0
94194155,0.08,0,-0.0535
94194121,0.0139,0,-0.1361
94194134,0.1375,-0.1244,0
94194144,0.292,-0.0628,0
94194142,0.1428,0,-0.0503
94194145,0,0.0571,-0.005
94194138,0.2679,-0.0389,0
94194149,0.1345,0,-0.0306
94194132,0.219,-0.0346,0
94194136,0.2658,0,-0.1478
94194122,0.1863,-0.04,0
94194123,0.0953,-0.0706,0
94194146,0.0361,0,-0.04
94194143,0.1169,0,-0.1157
94194199,0.0738,-0.0716,0
94194194,0.2498,0,-0.0557
94194139,0.0837,0,-0.0257
94194137,0.1734,0,-0.0706
94194140,0.0856,-0.0928,0
94194126,0.1252,0,-0.0495
94194127,0,0.0172,-0.0841
94194124,0.1858,-0.0429,0
94194141,0,-0.0394,0.0432
94194191,0,-0.0482,0.0713
94194200,0.1396,-0.1008,0
94194131,-0.0041,0.1719,0
94194133,0.0284,0,-0.0693
94194158,0.0984,0,-0.0958
94194159,0,-0.1015,0.0375
94194128,0.1029,0,-0.1701
94194125,0.1689,-0.1541,0
94194109,0.0179,-0.0194,0
94194196,0.2411,0,-0.0765
94194197,0.1725,0,-0.0308
94194135,0.1648,-0.05,0
94194152,0.1502,0,-0.0903
94194154,0.105,0,-0.0583
94194114,0.2115,-0.1515,0
94194112,0,0.0894,-0.0142
94194129,0.1904,0,-0.0365
94194130,0.1325,0,-0.1149
94194148,0.0935,0,-0.1246
94194192,0.1379,0,-0.0388
94194193,0,0.0088,-0.0416
94194160,0.2532,-0.1368,0
94194113,0.0838,-0.0772,0
94194168,0.1401,0,-0.0302
94194167,0.1753,0,-1e-04
94194115,0.2663,-0.0984,0
94194116,0.0488,0,-0.177
94194165,0.2198,0,-0.0639
94194161,0.1802,-0.0625,0
94194153,0.2186,0,-0.033
94194157,0.2326,-0.0419,0
94194111,0.2196,0,-0.0553
94194166,0.0512,-0.1087,0
94194162,0.2579,0,-0.028
94194163,0.0016,-0.1403,0
94194169,0.2167,-0.1652,0
94194164,0.3131,0,-0.055
94204720,-0.0489,0,0.0357
94204715,0.1655,0,-0.1098
94204717,0,-0.0294,0.0195
94204716,0,-2e-04,0.0259
94204719,-0.0088,0.1485,0
94204785,-0.0471,0.0477,0
94204779,0.1439,0,-0.1833
94204805,0,0.0816,-0.0265
94204786,0.0472,-0.0612,0
94204735,0.0835,0,-0.0906
94204731,-0.0407,0.065,0
94204734,-3e-04,0.1247,0
94204732,-0.0055,0.0131,0
94204748,-0.0232,0,0.0025
94204740,-0.1037,0.0606,0
94204739,0,0.0356,-0.0404
94204736,-0.0458,0,0.0373
94204763,0,0.0441,-0.0551
94204765,0.0851,-0.0521,0
94204718,-0.0295,0.0087,0
94204711,0,0.0183,-0.076
94204713,0,0.096,-0.0349
94204712,0,0.0119,-0.1332
94204714,0.0553,0,-0.1769
94204764,0.2081,0,-0.0111
94204761,-0.011,0,0.0761
94204762,0,-0.0162,0.0542
94204723,-0.0086,0,0.0245
94204721,-0.1257,0.0285,0
94204724,0.0231,0,-0.081
94204725,0,0.0166,-0.0284
94204701,0.0299,-0.0046,0
94204704,0.0707,-0.0098,0
94204705,0.0472,0,-0.0755
94204707,0.0028,0,-0.0169
94204706,0.052,0,-0.0435
94204710,0.0033,-0.0179,0
94204709,0.0632,0,-0.0134
94204703,-0.2057,0.0591,0
94204708,-0.039,0,0.0034
94204702,-0.0188,0.0161,0
94204784,0.1382,0,-0.2416
94204780,0,0.0268,-0.0498
94204776,0,-0.0359,0.0384
94204783,0.0442,0,-0.0202
94204781,-0.0904,0,0.0138
94204782,0,0.3168,-0.0216
94204778,-0.0699,0.0908,0
94204804,0.2104,0,-0.1193
94204803,0.1266,0,-0.1008
94204789,-0.0067,0,0.0698
94204788,0.0147,-0.011,0
94204801,-0.0208,0.0851,0
94204802,0.0332,-0.0847,0
94204791,-0.1171,0.0354,0
94204795,0,0.0985,-0.0292
94204792,0,0.0312,-0.0248
94204793,0.0136,0,-0.0835
94204790,0,0.1128,-0.02
94204787,0,0.0387,-0.2618
94204794,0.0057,0,-0.2759
94204798,0.1377,0,-0.0382
94204799,0,0.0139,-0.2248
94204797,0.0195,-0.0098,0
94204800,-0.0435,0,0.0087
94204796,-0.0498,0,0.0381
94204750,-0.0993,0.0075,0
94204747,0.226,0,-0.1194
94204746,-0.1454,0.0119,0
94204749,0.1124,0,-0.1836
94204727,0.1081,0,-0.1011
94204728,-0.0081,0.1618,0
94204730,0,0.0024,-0.0341
94204729,0,0.0348,-0.122
94204726,-0.0312,0.0851,0
